"material_type","county","total_residential_tons"
"PETE Plastic Containers","Napa (Countywide)",226
"HDPE Plastic Containers","Napa (Countywide)",150
"Miscellaneous Plastic Containers","Napa (Countywide)",257
"Plastic Trash Bags","Napa (Countywide)",503
"Plastic Grocery and Other Merchandise Bags","Napa (Countywide)",233
"Non-Bag Commercial and Industrial Packaging Film","Napa (Countywide)",83
"Film Products","Napa (Countywide)",17
"Other Film - Other","Napa (Countywide)",847
"Durable Plastic Items - #2 and #5 Bulky Rigids","Napa (Countywide)",121
"Durable Plastic Items - Other","Napa (Countywide)",291
"Remainder / Composite Plastic","Napa (Countywide)",759
"PETE Plastic Containers","Nevada (Countywide)",270
"HDPE Plastic Containers","Nevada (Countywide)",151
"Miscellaneous Plastic Containers","Nevada (Countywide)",152
"Plastic Trash Bags","Nevada (Countywide)",406
"Plastic Grocery and Other Merchandise Bags","Nevada (Countywide)",180
"Non-Bag Commercial and Industrial Packaging Film","Nevada (Countywide)",48
"Film Products","Nevada (Countywide)",0
"Other Film - Other","Nevada (Countywide)",656
"Durable Plastic Items - #2 and #5 Bulky Rigids","Nevada (Countywide)",202
"Durable Plastic Items - Other","Nevada (Countywide)",253
"Remainder / Composite Plastic","Nevada (Countywide)",508
"PETE Plastic Containers","Orange (Countywide)",5624
"HDPE Plastic Containers","Orange (Countywide)",3335
"Miscellaneous Plastic Containers","Orange (Countywide)",4381
"Plastic Trash Bags","Orange (Countywide)",8150
"Plastic Grocery and Other Merchandise Bags","Orange (Countywide)",5623
"Non-Bag Commercial and Industrial Packaging Film","Orange (Countywide)",905
"Film Products","Orange (Countywide)",3
"Other Film - Other","Orange (Countywide)",13352
"Durable Plastic Items - #2 and #5 Bulky Rigids","Orange (Countywide)",2512
"Durable Plastic Items - Other","Orange (Countywide)",12843
"Remainder / Composite Plastic","Orange (Countywide)",18696
"PETE Plastic Containers","Placer (Countywide)",902
"HDPE Plastic Containers","Placer (Countywide)",726
"Miscellaneous Plastic Containers","Placer (Countywide)",792
"Plastic Trash Bags","Placer (Countywide)",1369
"Plastic Grocery and Other Merchandise Bags","Placer (Countywide)",1130
"Non-Bag Commercial and Industrial Packaging Film","Placer (Countywide)",101
"Film Products","Placer (Countywide)",137
"Other Film - Other","Placer (Countywide)",2272
"Durable Plastic Items - #2 and #5 Bulky Rigids","Placer (Countywide)",965
"Durable Plastic Items - Other","Placer (Countywide)",925
"Remainder / Composite Plastic","Placer (Countywide)",2850
"PETE Plastic Containers","Plumas (Countywide)",54
"HDPE Plastic Containers","Plumas (Countywide)",30
"Miscellaneous Plastic Containers","Plumas (Countywide)",31
"Plastic Trash Bags","Plumas (Countywide)",79
"Plastic Grocery and Other Merchandise Bags","Plumas (Countywide)",37
"Non-Bag Commercial and Industrial Packaging Film","Plumas (Countywide)",10
"Film Products","Plumas (Countywide)",0
"Other Film - Other","Plumas (Countywide)",130
"Durable Plastic Items - #2 and #5 Bulky Rigids","Plumas (Countywide)",38
"Durable Plastic Items - Other","Plumas (Countywide)",52
"Remainder / Composite Plastic","Plumas (Countywide)",109
"PETE Plastic Containers","Riverside (Countywide)",3998
"HDPE Plastic Containers","Riverside (Countywide)",2428
"Miscellaneous Plastic Containers","Riverside (Countywide)",3172
"Plastic Trash Bags","Riverside (Countywide)",5943
"Plastic Grocery and Other Merchandise Bags","Riverside (Countywide)",4030
"Non-Bag Commercial and Industrial Packaging Film","Riverside (Countywide)",629
"Film Products","Riverside (Countywide)",2
"Other Film - Other","Riverside (Countywide)",9525
"Durable Plastic Items - #2 and #5 Bulky Rigids","Riverside (Countywide)",1957
"Durable Plastic Items - Other","Riverside (Countywide)",9822
"Remainder / Composite Plastic","Riverside (Countywide)",13087
"PETE Plastic Containers","Sacramento (Countywide)",3581
"HDPE Plastic Containers","Sacramento (Countywide)",2805
"Miscellaneous Plastic Containers","Sacramento (Countywide)",3097
"Plastic Trash Bags","Sacramento (Countywide)",5357
"Plastic Grocery and Other Merchandise Bags","Sacramento (Countywide)",4409
"Non-Bag Commercial and Industrial Packaging Film","Sacramento (Countywide)",420
"Film Products","Sacramento (Countywide)",505
"Other Film - Other","Sacramento (Countywide)",8972
"Durable Plastic Items - #2 and #5 Bulky Rigids","Sacramento (Countywide)",3601
"Durable Plastic Items - Other","Sacramento (Countywide)",3721
"Remainder / Composite Plastic","Sacramento (Countywide)",11441
"PETE Plastic Containers","San Benito (Countywide)",104
"HDPE Plastic Containers","San Benito (Countywide)",57
"Miscellaneous Plastic Containers","San Benito (Countywide)",91
"Plastic Trash Bags","San Benito (Countywide)",235
"Plastic Grocery and Other Merchandise Bags","San Benito (Countywide)",60
"Non-Bag Commercial and Industrial Packaging Film","San Benito (Countywide)",23
"Film Products","San Benito (Countywide)",0
"Other Film - Other","San Benito (Countywide)",370
"Durable Plastic Items - #2 and #5 Bulky Rigids","San Benito (Countywide)",43
"Durable Plastic Items - Other","San Benito (Countywide)",111
"Remainder / Composite Plastic","San Benito (Countywide)",315
"PETE Plastic Containers","San Bernardino (Countywide)",3603
"HDPE Plastic Containers","San Bernardino (Countywide)",2200
"Miscellaneous Plastic Containers","San Bernardino (Countywide)",2870
"Plastic Trash Bags","San Bernardino (Countywide)",5386
"Plastic Grocery and Other Merchandise Bags","San Bernardino (Countywide)",3638
"Non-Bag Commercial and Industrial Packaging Film","San Bernardino (Countywide)",564
"Film Products","San Bernardino (Countywide)",1
"Other Film - Other","San Bernardino (Countywide)",8590
"Durable Plastic Items - #2 and #5 Bulky Rigids","San Bernardino (Countywide)",1798
"Durable Plastic Items - Other","San Bernardino (Countywide)",8989
"Remainder / Composite Plastic","San Bernardino (Countywide)",11753
"PETE Plastic Containers","San Diego (Countywide)",5861
"HDPE Plastic Containers","San Diego (Countywide)",3419
"Miscellaneous Plastic Containers","San Diego (Countywide)",4509
"Plastic Trash Bags","San Diego (Countywide)",8347
"Plastic Grocery and Other Merchandise Bags","San Diego (Countywide)",5828
"Non-Bag Commercial and Industrial Packaging Film","San Diego (Countywide)",957
"Film Products","San Diego (Countywide)",4
"Other Film - Other","San Diego (Countywide)",13883
"Durable Plastic Items - #2 and #5 Bulky Rigids","San Diego (Countywide)",2450
"Durable Plastic Items - Other","San Diego (Countywide)",12711
"Remainder / Composite Plastic","San Diego (Countywide)",19683
"PETE Plastic Containers","San Francisco (Countywide)",1671
"HDPE Plastic Containers","San Francisco (Countywide)",959
"Miscellaneous Plastic Containers","San Francisco (Countywide)",1481
"Plastic Trash Bags","San Francisco (Countywide)",2773
"Plastic Grocery and Other Merchandise Bags","San Francisco (Countywide)",1643
"Non-Bag Commercial and Industrial Packaging Film","San Francisco (Countywide)",439
"Film Products","San Francisco (Countywide)",56
"Other Film - Other","San Francisco (Countywide)",4924
"Durable Plastic Items - #2 and #5 Bulky Rigids","San Francisco (Countywide)",562
"Durable Plastic Items - Other","San Francisco (Countywide)",2083
"Remainder / Composite Plastic","San Francisco (Countywide)",5867
"PETE Plastic Containers","San Joaquin (Countywide)",1751
"HDPE Plastic Containers","San Joaquin (Countywide)",1418
"Miscellaneous Plastic Containers","San Joaquin (Countywide)",1544
"Plastic Trash Bags","San Joaquin (Countywide)",2667
"Plastic Grocery and Other Merchandise Bags","San Joaquin (Countywide)",2204
"Non-Bag Commercial and Industrial Packaging Film","San Joaquin (Countywide)",195
"Film Products","San Joaquin (Countywide)",270
"Other Film - Other","San Joaquin (Countywide)",4418
"Durable Plastic Items - #2 and #5 Bulky Rigids","San Joaquin (Countywide)",1899
"Durable Plastic Items - Other","San Joaquin (Countywide)",1790
"Remainder / Composite Plastic","San Joaquin (Countywide)",5522
"PETE Plastic Containers","San Luis Obispo (Countywide)",504
"HDPE Plastic Containers","San Luis Obispo (Countywide)",274
"Miscellaneous Plastic Containers","San Luis Obispo (Countywide)",424
"Plastic Trash Bags","San Luis Obispo (Countywide)",1051
"Plastic Grocery and Other Merchandise Bags","San Luis Obispo (Countywide)",319
"Non-Bag Commercial and Industrial Packaging Film","San Luis Obispo (Countywide)",107
"Film Products","San Luis Obispo (Countywide)",1
"Other Film - Other","San Luis Obispo (Countywide)",1687
"Durable Plastic Items - #2 and #5 Bulky Rigids","San Luis Obispo (Countywide)",188
"Durable Plastic Items - Other","San Luis Obispo (Countywide)",547
"Remainder / Composite Plastic","San Luis Obispo (Countywide)",1572
"PETE Plastic Containers","San Mateo (Countywide)",1302
"HDPE Plastic Containers","San Mateo (Countywide)",836
"Miscellaneous Plastic Containers","San Mateo (Countywide)",1403
"Plastic Trash Bags","San Mateo (Countywide)",2720
"Plastic Grocery and Other Merchandise Bags","San Mateo (Countywide)",1325
"Non-Bag Commercial and Industrial Packaging Film","San Mateo (Countywide)",444
"Film Products","San Mateo (Countywide)",84
"Other Film - Other","San Mateo (Countywide)",4626
"Durable Plastic Items - #2 and #5 Bulky Rigids","San Mateo (Countywide)",634
"Durable Plastic Items - Other","San Mateo (Countywide)",1661
"Remainder / Composite Plastic","San Mateo (Countywide)",4415
"PETE Plastic Containers","Santa Barbara (Countywide)",830
"HDPE Plastic Containers","Santa Barbara (Countywide)",449
"Miscellaneous Plastic Containers","Santa Barbara (Countywide)",693
"Plastic Trash Bags","Santa Barbara (Countywide)",1697
"Plastic Grocery and Other Merchandise Bags","Santa Barbara (Countywide)",538
"Non-Bag Commercial and Industrial Packaging Film","Santa Barbara (Countywide)",175
"Film Products","Santa Barbara (Countywide)",2
"Other Film - Other","Santa Barbara (Countywide)",2738
"Durable Plastic Items - #2 and #5 Bulky Rigids","Santa Barbara (Countywide)",303
"Durable Plastic Items - Other","Santa Barbara (Countywide)",906
"Remainder / Composite Plastic","Santa Barbara (Countywide)",2607
"PETE Plastic Containers","Santa Clara (Countywide)",3274
"HDPE Plastic Containers","Santa Clara (Countywide)",2097
"Miscellaneous Plastic Containers","Santa Clara (Countywide)",3514
"Plastic Trash Bags","Santa Clara (Countywide)",6808
"Plastic Grocery and Other Merchandise Bags","Santa Clara (Countywide)",3328
"Non-Bag Commercial and Industrial Packaging Film","Santa Clara (Countywide)",1110
"Film Products","Santa Clara (Countywide)",208
"Other Film - Other","Santa Clara (Countywide)",11590
"Durable Plastic Items - #2 and #5 Bulky Rigids","Santa Clara (Countywide)",1583
"Durable Plastic Items - Other","Santa Clara (Countywide)",4175
"Remainder / Composite Plastic","Santa Clara (Countywide)",11109
"PETE Plastic Containers","Santa Cruz (Countywide)",502
"HDPE Plastic Containers","Santa Cruz (Countywide)",273
"Miscellaneous Plastic Containers","Santa Cruz (Countywide)",424
"Plastic Trash Bags","Santa Cruz (Countywide)",1057
