county,material_tons_disposed,material_tons_in_curbside_recycle,material_tons_in_curbside_organics,material_tons_in_other_diversion,material_tons_generated_sum_of_all_streams,resin_type
Tehama,353.9842142490553,50.2268505774395,0.35980755522771357,5.398553789883287,409.9694261716058,HDPE
Trinity,58.11551764111375,10.91304636028471,0.06252780797007046,0.6747347516251263,69.76582656099366,HDPE
Tulare,2583.8684164054453,261.783827221363,3.234018129324211,34.724910527176476,2883.6111722833093,HDPE
Tuolumne,346.76100036119226,42.249020257635735,0.5189394934623337,5.026810616269619,394.5557707285599,HDPE
Ventura,6214.071389569453,709.0827358833271,8.251117050995349,98.99766775986184,7030.402910263637,HDPE
Yolo,1495.0416821547306,189.23805596817857,1.7201957403679828,26.2689959217476,1712.2689297850245,HDPE
Yuba,275.17675402120483,41.12011883392804,0.38707422859767743,3.4489465459367654,320.1328936296673,HDPE
Alameda,17889.714091722904,2009.816714110593,20.1746897153545,327.29847894117563,20247.003974490028,PP
Alpine,8.36202076530393,1.1576493462526378,0.0027736735534695314,0.024601315438987425,9.547045100549024,PP
Amador,221.79999683795336,20.725827572626383,0.2712074710267627,3.946759101777717,246.74379098338426,PP
Butte,1998.14078302673,204.96679115552388,2.6595372111221036,22.0415180268401,2227.808629420216,PP
Calaveras,183.03299884444783,19.317237932146398,0.24246011332917852,3.639608750302312,206.23230564022572,PP
Colusa,183.24216106245657,12.423247111019906,0.23080597599283253,1.4164519902197215,197.31266613968907,PP
Contra Costa,8912.585370429837,1005.5204029716178,11.731260314878433,119.63303113194988,10049.470064848283,PP
Del Norte,187.47270253651237,18.47362809415746,0.21090671618123064,1.767079714443656,207.9243170612947,PP
El Dorado,1310.3504009230703,131.42845880502583,1.5660550531609594,18.60547337497431,1461.9503881562314,PP
Fresno,8050.047086246755,750.3774972180752,9.488163940635271,86.05342482590248,8895.966172231369,PP
Glenn,180.5556821855768,15.726744688335685,0.13552196872327024,2.0310764274176423,198.44902527005337,PP
Humboldt,1119.481345393106,109.80499036668546,1.3873887957534439,16.453897382497058,1247.1276219380418,PP
Imperial,1339.8814133311769,120.06114136747966,1.137998497047941,11.795269991267656,1472.875823186972,PP
Inyo,210.22195636912008,20.09461027495342,0.22860437037765743,2.1305502715593336,232.67572128601049,PP
Kern,6329.520627197381,568.9308827535673,6.746263870372979,70.73818994999878,6975.9359637713205,PP
Kings,972.1620418884049,69.58894112367274,1.0121256032182344,9.378240183160754,1052.1413487984564,PP
Lake,420.3014385913315,47.206884314706,0.3884722760696878,6.10344478623931,474.0002399683465,PP
Lassen,170.9780722209659,16.65880895651517,0.1999336536860746,1.6351487754964862,189.47196360666365,PP
Los Angeles,112219.82860504842,12560.406839917796,124.14716116116821,1664.450486718707,126568.83309284608,PP
Madera,858.2915524729942,75.10719999843835,1.0660631767658912,13.630921590140158,948.0957372383386,PP
Marin,2970.510317494156,328.1788865467428,3.7423278304295113,39.16509552539055,3341.5966273967183,PP
Mariposa,125.87075212163788,16.95667906036806,0.09723647117345685,1.5618006530514217,144.4864683062308,PP
Mendocino,765.7883410627637,74.70529366109467,0.888443846800529,13.39773900153386,854.7798175721929,PP
Merced,1657.1319986192116,133.164100328334,1.5619601401240168,19.22672059651493,1811.0847796841842,PP
Modoc,64.44125855807133,5.92045166500837,0.06715505861721997,0.7680134401958556,71.19687872189277,PP
Mono,178.5899509035604,21.075669523728735,0.17202060297292235,1.5767058206744424,201.4143468509365,PP
Monterey,3801.4253208641067,342.8769401093096,3.945337408131831,40.33219314796163,4188.57979152951,PP
Napa,1723.8740273854678,158.38807696772503,2.158202006273072,22.905024701178217,1907.3253310606444,PP
Nevada,669.8802281985793,70.1534015278823,0.965546042069296,14.956076498268352,755.9552522667992,PP
Orange,39666.32441149682,4404.656734751305,44.244836156589045,752.075843904433,44867.301826309136,PP
Placer,3753.3151837485393,362.58069922266316,4.800668397942754,64.83868998456806,4185.535241353713,PP
Plumas,134.82989794271992,13.793010892183204,0.17824090106394685,2.444924325441299,151.24607406140836,PP
Riverside,15663.115090653151,1534.3993565818525,18.016306052448943,229.83789653661694,17445.36864982407,PP
Sacramento,14121.932578347449,1496.6608044815853,17.569471540225788,164.65295468308375,15800.815809052343,PP
San Benito,349.6477549334995,34.37300259032633,0.335109860593654,14.883774444259673,399.23964182867917,PP
San Bernardino,15626.544207169716,1484.765212897977,19.12771648745662,227.18902601367552,17357.626162568824,PP
San Diego,37081.58794432307,4189.258003104057,42.83633752823463,576.9229775444816,41890.60526249985,PP
