"material_type","county","material_tons_generated_sum_of_all_streams"
"Plastic Trash Bags","Marin (Countywide)",2606.72716678245
"Plastic Grocery and Other Merchandise Bags","Marin (Countywide)",404.666830295496
"Non-Bag Commercial and Industrial Packaging Film","Marin (Countywide)",794.153329039957
"Film Products","Marin (Countywide)",66.0052026197909
"Other Film - Other","Marin (Countywide)",2969.42546865648
"Durable Plastic Items - #2 and #5 Bulky Rigids","Marin (Countywide)",416.99597720119
"Durable Plastic Items - Other","Marin (Countywide)",1332.21349631494
"Remainder / Composite Plastic","Marin (Countywide)",5479.62410338799
"PETE Plastic Containers","Mariposa (Countywide)",80.7929235243087
"HDPE Plastic Containers","Mariposa (Countywide)",43.9179668763358
"Miscellaneous Plastic Containers","Mariposa (Countywide)",33.3111370843723
"Plastic Trash Bags","Mariposa (Countywide)",132.69327544844
"Plastic Grocery and Other Merchandise Bags","Mariposa (Countywide)",26.1504182971997
"Non-Bag Commercial and Industrial Packaging Film","Mariposa (Countywide)",17.4317265842822
"Film Products","Mariposa (Countywide)",3.11991503141671
"Other Film - Other","Mariposa (Countywide)",138.47325246052
"Durable Plastic Items - #2 and #5 Bulky Rigids","Mariposa (Countywide)",21.8361320922647
"Durable Plastic Items - Other","Mariposa (Countywide)",51.7176187828647
"Remainder / Composite Plastic","Mariposa (Countywide)",221.111033750532
"PETE Plastic Containers","Mendocino (Countywide)",327.660993402588
"HDPE Plastic Containers","Mendocino (Countywide)",197.604654299041
"Miscellaneous Plastic Containers","Mendocino (Countywide)",168.461390748863
"Plastic Trash Bags","Mendocino (Countywide)",691.223290650445
"Plastic Grocery and Other Merchandise Bags","Mendocino (Countywide)",112.597725000351
"Non-Bag Commercial and Industrial Packaging Film","Mendocino (Countywide)",243.673926113869
"Film Products","Mendocino (Countywide)",24.608163257375
"Other Film - Other","Mendocino (Countywide)",833.998549887433
"Durable Plastic Items - #2 and #5 Bulky Rigids","Mendocino (Countywide)",111.349027809296
"Durable Plastic Items - Other","Mendocino (Countywide)",337.677002276653
"Remainder / Composite Plastic","Mendocino (Countywide)",1345.99000661869
"PETE Plastic Containers","Merced (Countywide)",638.545660701647
"HDPE Plastic Containers","Merced (Countywide)",368.652718812953
"Miscellaneous Plastic Containers","Merced (Countywide)",332.485959045809
"Plastic Trash Bags","Merced (Countywide)",1383.8510336964
"Plastic Grocery and Other Merchandise Bags","Merced (Countywide)",214.101034039035
"Non-Bag Commercial and Industrial Packaging Film","Merced (Countywide)",802.225975633157
"Film Products","Merced (Countywide)",42.4767680899349
"Other Film - Other","Merced (Countywide)",1911.25756182736
"Durable Plastic Items - #2 and #5 Bulky Rigids","Merced (Countywide)",246.266841576825
"Durable Plastic Items - Other","Merced (Countywide)",736.012016247456
"Remainder / Composite Plastic","Merced (Countywide)",2765.10657582287
"PETE Plastic Containers","Modoc (Countywide)",27.8816044738785
"HDPE Plastic Containers","Modoc (Countywide)",17.3788047443234
"Miscellaneous Plastic Containers","Modoc (Countywide)",14.611314400156
"Plastic Trash Bags","Modoc (Countywide)",55.3785229032015
"Plastic Grocery and Other Merchandise Bags","Modoc (Countywide)",10.5108662985091
"Non-Bag Commercial and Industrial Packaging Film","Modoc (Countywide)",18.3880149432682
"Film Products","Modoc (Countywide)",1.90471060937645
"Other Film - Other","Modoc (Countywide)",63.9691864721866
"Durable Plastic Items - #2 and #5 Bulky Rigids","Modoc (Countywide)",9.61074609611752
"Durable Plastic Items - Other","Modoc (Countywide)",30.9345080270799
"Remainder / Composite Plastic","Modoc (Countywide)",110.20396284581
"PETE Plastic Containers","Mono (Countywide)",99.8101475373831
"HDPE Plastic Containers","Mono (Countywide)",58.2310588645497
"Miscellaneous Plastic Containers","Mono (Countywide)",43.0205630562423
"Plastic Trash Bags","Mono (Countywide)",185.885403112516
"Plastic Grocery and Other Merchandise Bags","Mono (Countywide)",31.6630005219128
"Non-Bag Commercial and Industrial Packaging Film","Mono (Countywide)",26.8729667711161
"Film Products","Mono (Countywide)",3.16829574266591
"Other Film - Other","Mono (Countywide)",197.50662294989
"Durable Plastic Items - #2 and #5 Bulky Rigids","Mono (Countywide)",27.4344464207138
"Durable Plastic Items - Other","Mono (Countywide)",72.5991378470237
"Remainder / Composite Plastic","Mono (Countywide)",317.766892135364
"PETE Plastic Containers","Monterey (Countywide)",1520.56002993315
"HDPE Plastic Containers","Monterey (Countywide)",953.849026915285
"Miscellaneous Plastic Containers","Monterey (Countywide)",760.255888001649
"Plastic Trash Bags","Monterey (Countywide)",3442.78210762423
"Plastic Grocery and Other Merchandise Bags","Monterey (Countywide)",525.372805273572
"Non-Bag Commercial and Industrial Packaging Film","Monterey (Countywide)",1321.98016606303
"Film Products","Monterey (Countywide)",105.186304044784
"Other Film - Other","Monterey (Countywide)",3930.6443387896
"Durable Plastic Items - #2 and #5 Bulky Rigids","Monterey (Countywide)",499.16863906497
"Durable Plastic Items - Other","Monterey (Countywide)",1826.87095915387
"Remainder / Composite Plastic","Monterey (Countywide)",6600.89195715796
"PETE Plastic Containers","Napa (Countywide)",675.942764018296
"HDPE Plastic Containers","Napa (Countywide)",436.06392461027
"Miscellaneous Plastic Containers","Napa (Countywide)",374.640417182534
"Plastic Trash Bags","Napa (Countywide)",1552.48605880617
"Plastic Grocery and Other Merchandise Bags","Napa (Countywide)",203.308299448211
"Non-Bag Commercial and Industrial Packaging Film","Napa (Countywide)",828.776589806518
"Film Products","Napa (Countywide)",41.8371761629101
"Other Film - Other","Napa (Countywide)",2138.94214212068
"Durable Plastic Items - #2 and #5 Bulky Rigids","Napa (Countywide)",296.50993959971
