"material_type","county","material_tons_disposed","material_tons_in_curbside_recycle","material_tons_in_curbside_organics","material_tons_in_other_diversion","material_tons_generated_sum_of_all_streams"
"Durable Plastic Items - Other","Placer (Countywide)",1656.66639362005,63.4332094049523,0.487606022564695,30.2109541225602,1750.79816317013
"Remainder / Composite Plastic","Placer (Countywide)",6622.33936236957,234.591463265093,3.79418804470641,37.6557423375876,6898.38075601696
"PETE Plastic Containers","Plumas (Countywide)",35.1601382658215,18.2816641130009,0.126148524088139,5.2991207228896,58.8670716258001
"HDPE Plastic Containers","Plumas (Countywide)",24.9935967760848,10.7304512766149,0.0383948390195721,0.418615668347392,36.1810585600667
"Miscellaneous Plastic Containers","Plumas (Countywide)",21.0561246503083,8.84633940493046,0.0820362617150898,0.557094661988896,30.5415949789427
"Plastic Trash Bags","Plumas (Countywide)",117.878084437936,2.6361124137337,0.0430475262986202,0.421814984377488,120.979059362346
"Plastic Grocery and Other Merchandise Bags","Plumas (Countywide)",18.7996314969363,2.53260301249828,0.0200537807228108,0.0040599715646897,21.3563482617221
"Non-Bag Commercial and Industrial Packaging Film","Plumas (Countywide)",23.352223009915,3.24318996781406,0.0260924591750102,3.2856768690984,29.9071823060025
"Film Products","Plumas (Countywide)",1.1473828893921,0.717640947878266,0.0126849978827911,2.02701725590832,3.90472609106147
"Other Film - Other","Plumas (Countywide)",121.700138514347,7.72536175500283,0.463823002269338,0.836148006930277,130.72547127855
"Durable Plastic Items - #2 and #5 Bulky Rigids","Plumas (Countywide)",9.81576318673268,7.9594492017945,0,0.42963406312725,18.2048464516544
"Durable Plastic Items - Other","Plumas (Countywide)",56.87612022204,3.72350814013932,0.00835968636913938,0.8957999798404,61.5037880283889
"Remainder / Composite Plastic","Plumas (Countywide)",234.823993532731,8.10641934131978,0.218460998980835,3.26665082641156,246.415524699443
"PETE Plastic Containers","Riverside (Countywide)",4113.47282997132,1911.04041662665,18.8737128765303,565.841139818218,6609.22809929272
"HDPE Plastic Containers","Riverside (Countywide)",3008.82355774961,1053.90487086062,2.61513412595428,61.4729225895989,4126.81648532579
"Miscellaneous Plastic Containers","Riverside (Countywide)",2282.74904393158,956.288783079303,8.77310132898423,81.9449824614304,3329.7559108013
"Plastic Trash Bags","Riverside (Countywide)",13712.6472942574,266.735730062217,5.50554213408756,35.1367293732084,14020.0252958269
"Plastic Grocery and Other Merchandise Bags","Riverside (Countywide)",2011.7415656344,363.297225065315,1.57060585939038,0.374186123019004,2376.98358268212
"Non-Bag Commercial and Industrial Packaging Film","Riverside (Countywide)",3266.76247018373,528.710008253831,4.48971604928311,288.006835295152,4087.969029782
"Film Products","Riverside (Countywide)",93.8724608276002,69.6228933125707,0.825333928305608,161.150857130274,325.471545198751
"Other Film - Other","Riverside (Countywide)",15012.0638973388,841.898036903783,64.2653165145017,61.8996550391193,15980.1269057962
"Durable Plastic Items - #2 and #5 Bulky Rigids","Riverside (Countywide)",1159.57941362867,893.766236491492,0,60.6075403926314,2113.95319051279
"Durable Plastic Items - Other","Riverside (Countywide)",6883.00272099918,403.638215855809,1.07695120689849,87.4637547490792,7375.18164281097
"Remainder / Composite Plastic","Riverside (Countywide)",26891.0394867949,899.524540772801,14.2876104484482,240.549588243317,28045.4012262595
"PETE Plastic Containers","Sacramento (Countywide)",3314.74573338345,1581.5676762658,17.029636244201,374.076383402663,5287.41942929611
"HDPE Plastic Containers","Sacramento (Countywide)",2576.61015206275,1001.66587740194,2.62666621422804,50.2696971622458,3631.17239284116
"Miscellaneous Plastic Containers","Sacramento (Countywide)",1982.26236235265,1060.37562331858,8.90968334392235,63.4043485416906,3114.95201755684
"Plastic Trash Bags","Sacramento (Countywide)",12067.5716552258,223.549264957109,5.91786696823606,25.761604245812,12322.800391397
"Plastic Grocery and Other Merchandise Bags","Sacramento (Countywide)",1672.58392845321,284.297118465674,1.18912682024983,0.512552074420392,1958.58272581355
"Non-Bag Commercial and Industrial Packaging Film","Sacramento (Countywide)",2799.28952555242,535.984588584831,3.38374262866258,210.006385173864,3548.66424193978
"Film Products","Sacramento (Countywide)",66.4530270188578,53.9283634329146,0.873531141217899,117.893008952963,239.147930545953
"Other Film - Other","Sacramento (Countywide)",12853.7539285547,585.158324317004,51.6680742284878,40.201644066081,13530.7819711662
"Durable Plastic Items - #2 and #5 Bulky Rigids","Sacramento (Countywide)",1205.55865663426,739.101282349025,0,61.1441333047669,2005.80407228806
"Durable Plastic Items - Other","Sacramento (Countywide)",6283.76875696118,295.136010954105,1.86901243333865,63.3692002237478,6644.14298057237
"Remainder / Composite Plastic","Sacramento (Countywide)",24570.2760845655,972.070509329687,16.1565167012968,140.553762046966,25699.0568726435
"PETE Plastic Containers","San Benito (Countywide)",78.853243915791,41.9853876739042,0.320077687745043,18.5942394105591,139.752948687999
"HDPE Plastic Containers","San Benito (Countywide)",58.7204358365207,20.1105799731391,0.0841849972079343,1.11846697255772,80.0336677794254
"Miscellaneous Plastic Containers","San Benito (Countywide)",50.1187455734824,23.0479854091826,0.153371332936359,5.63974241609863,78.9598447317
"Plastic Trash Bags","San Benito (Countywide)",294.435490775512,6.39693022384429,0.0932498345386337,2.98403411021022,303.909704944105
"Plastic Grocery and Other Merchandise Bags","San Benito (Countywide)",36.2987015252945,5.70734116902648,0.133537101399356,0.00667459739419318,42.1462543931145
"Non-Bag Commercial and Industrial Packaging Film","San Benito (Countywide)",129.525502945479,11.6962757045313,0.0715768970722335,22.6699276333917,163.963283180475
"Film Products","San Benito (Countywide)",7.03900635934348,3.17647996150669,0.0145053962122121,14.2957804543926,24.525772171455
"Other Film - Other","San Benito (Countywide)",381.069033675014,15.8994282552098,1.23104024155402,3.16616512402654,401.365667295804
"Durable Plastic Items - #2 and #5 Bulky Rigids","San Benito (Countywide)",29.2030765032786,19.8959867548615,0,2.74754089896781,51.8466041571079
"Durable Plastic Items - Other","San Benito (Countywide)",136.270462992887,8.54339862597658,0.0211151956618688,6.66178469554901,151.496761510075
"Remainder / Composite Plastic","San Benito (Countywide)",588.782291706533,18.4951101832807,0.246442804549956,12.4805009403213,620.004345634685
"PETE Plastic Containers","San Bernardino (Countywide)",3763.12773774063,1714.48323505654,17.6073402062668,504.528782020418,5999.74709502385
"HDPE Plastic Containers","San Bernardino (Countywide)",2850.13084553351,935.257378923077,3.21812300674967,78.6193199530158,3867.22566741635
"Miscellaneous Plastic Containers","San Bernardino (Countywide)",2184.13646394799,923.318292097778,9.33755056843635,68.7325832423941,3185.5248898566
"Plastic Trash Bags","San Bernardino (Countywide)",13498.2247716188,243.034905079745,5.2740090755352,31.6835438315615,13778.2172296057
"Plastic Grocery and Other Merchandise Bags","San Bernardino (Countywide)",1826.1255933582,359.044573186848,1.44903081816542,0.586814245293174,2187.20601160851
"Non-Bag Commercial and Industrial Packaging Film","San Bernardino (Countywide)",3769.5055371609,698.013945361691,4.07515338220945,262.7950406829,4734.3896765877
"Film Products","San Bernardino (Countywide)",85.1982466795576,63.5855596886018,1.08995627593796,145.761264841784,295.635027485881
"Other Film - Other","San Bernardino (Countywide)",14898.864437444,716.186807092499,61.5189854716016,51.7709700539945,15728.3412000621
"Durable Plastic Items - #2 and #5 Bulky Rigids","San Bernardino (Countywide)",1140.18726596357,835.796372145209,0,76.8140344383737,2052.79767254715
